request_id,hospital_id,component_id,blood_group,units_requested,request_date,status,priority,event_type
1,7,1,A+,5,2024-07-05,Fulfilled,Emergency,None
2,1,1,A+,1,2024-07-05,Fulfilled,Routine,None
3,2,2,A+,3,2024-07-05,Fulfilled,Urgent,None
4,7,4,A+,2,2024-07-05,Fulfilled,Routine,None
5,7,1,B+,1,2024-07-05,Fulfilled,Routine,None
6,5,3,B+,3,2024-07-05,Fulfilled,Emergency,None
7,6,2,B+,2,2024-07-06,Fulfilled,Routine,None
8,3,1,A+,2,2024-07-06,Fulfilled,Routine,None
9,2,4,O+,1,2024-07-06,Fulfilled,Routine,None
10,5,4,A+,2,2024-07-06,Fulfilled,Routine,None
11,3,2,B+,3,2024-07-06,Fulfilled,Routine,None
12,8,1,B+,2,2024-07-06,Fulfilled,Routine,None
13,4,2,A+,8,2024-07-07,Fulfilled,Routine,None
14,3,4,A+,2,2024-07-07,Fulfilled,Routine,None
15,5,4,A+,3,2024-07-07,Fulfilled,Routine,None
16,1,2,AB-,7,2024-07-07,Fulfilled,Emergency,None
17,6,1,B-,1,2024-07-07,Fulfilled,Routine,None
18,1,1,O+,2,2024-07-07,Fulfilled,Routine,None
19,6,4,O+,2,2024-07-07,Cancelled,Routine,None
20,3,1,B+,1,2024-07-07,Fulfilled,Routine,None
21,6,3,B+,2,2024-07-08,Fulfilled,Routine,None
22,2,3,A+,2,2024-07-08,Fulfilled,Urgent,None
23,1,1,A-,3,2024-07-08,Fulfilled,Routine,None
24,8,4,A+,3,2024-07-08,Fulfilled,Routine,None
25,1,3,A+,4,2024-07-08,Fulfilled,Routine,None
26,2,1,A-,5,2024-07-08,Fulfilled,Urgent,None
27,1,1,A-,1,2024-07-08,Fulfilled,Routine,None
28,5,4,AB-,1,2024-07-08,Fulfilled,Routine,None
29,8,3,B+,2,2024-07-08,Fulfilled,Routine,None
30,6,4,A+,2,2024-07-08,Fulfilled,Routine,None
31,3,1,A+,1,2024-07-08,Fulfilled,Routine,None
32,2,3,A+,3,2024-07-08,Fulfilled,Urgent,None
33,8,1,A+,1,2024-07-08,Fulfilled,Routine,None
34,8,1,B-,2,2024-07-09,Fulfilled,Emergency,None
35,2,2,B+,1,2024-07-09,Fulfilled,Routine,None
36,4,2,A+,3,2024-07-09,Fulfilled,Routine,None
37,1,2,A+,6,2024-07-09,Fulfilled,Urgent,None
38,4,4,B+,3,2024-07-10,Fulfilled,Routine,None
39,8,4,A-,2,2024-07-10,Cancelled,Routine,None
40,8,4,B+,1,2024-07-10,Cancelled,Routine,None
41,4,2,O+,2,2024-07-10,Fulfilled,Urgent,None
42,8,4,O+,3,2024-07-11,Fulfilled,Routine,None
43,2,2,O+,1,2024-07-11,Fulfilled,Routine,None
44,4,4,O+,8,2024-07-11,Fulfilled,Routine,None
45,3,1,B+,1,2024-07-11,Fulfilled,Routine,None
46,5,3,A+,2,2024-07-11,Fulfilled,Routine,None
47,6,2,A+,4,2024-07-11,Fulfilled,Urgent,None
48,7,2,A-,2,2024-07-11,Fulfilled,Routine,None
49,1,2,A-,3,2024-07-11,Fulfilled,Routine,None
50,3,4,B+,3,2024-07-12,Fulfilled,Urgent,None
51,3,2,B-,3,2024-07-12,Fulfilled,Routine,None
52,8,1,A-,1,2024-07-12,Fulfilled,Routine,None
53,6,2,A+,3,2024-07-12,Fulfilled,Urgent,None
54,4,2,O+,5,2024-07-12,Fulfilled,Routine,None
55,7,3,AB-,1,2024-07-12,Fulfilled,Routine,None
56,8,2,A+,3,2024-07-12,Fulfilled,Routine,None
57,2,3,B+,4,2024-07-12,Fulfilled,Emergency,None
58,2,3,B-,3,2024-07-12,Fulfilled,Urgent,None
59,1,4,A+,1,2024-07-12,Fulfilled,Routine,None
60,4,3,A+,16,2024-07-13,Fulfilled,Urgent,None
61,3,1,A+,2,2024-07-13,Fulfilled,Emergency,None
62,2,2,B+,4,2024-07-13,Fulfilled,Routine,None
63,6,3,A+,5,2024-07-13,Fulfilled,Urgent,None
64,8,2,A+,7,2024-07-13,Fulfilled,Urgent,None
65,2,3,AB+,1,2024-07-13,Fulfilled,Routine,None
66,1,3,A+,1,2024-07-13,Fulfilled,Routine,None
67,4,3,A-,6,2024-07-13,Fulfilled,Urgent,None
68,5,4,A+,1,2024-07-13,Fulfilled,Routine,None
69,5,1,B+,1,2024-07-13,Fulfilled,Routine,None
70,6,1,B+,3,2024-07-13,Fulfilled,Routine,None
71,3,3,B+,6,2024-07-13,Fulfilled,Emergency,None
72,3,3,B+,2,2024-07-13,Fulfilled,Routine,None
73,6,1,B+,1,2024-07-13,Fulfilled,Routine,None
74,4,2,B+,4,2024-07-13,Fulfilled,Routine,None
75,2,3,AB+,1,2024-07-14,Fulfilled,Routine,None
76,8,4,O+,3,2024-07-14,Fulfilled,Routine,None
77,7,2,A+,2,2024-07-14,Fulfilled,Routine,None
